midpoint,hashtag,count,avg_rt,meantime,presence,tweet_effect,norm
7.0,#Trump2016,613,2861.9135399673737,2016-01-19,1,2.1155029585798815,1352.8288997943785
7.0,#MAGA,7268,4210.330627407815,2016-02-06,0,2.1155029585798815,1990.2267734166503
7.0,#MakeAmericaGreatAgain,513,3113.754385964912,2016-01-22,1,2.1155029585798815,1471.8742762029262
7.0,#DrainTheSwamp,7297,4212.518295189804,2016-02-07,0,2.1155029585798815,1991.260885788423
7.0,#AmericaFirst,7298,4254.088106330501,2016-02-07,0,2.1155029585798815,2010.910969931346
7.0,#VoteTrump,7247,4298.915827238858,2016-02-09,0,2.1155029585798815,2032.1010707187486
7.0,#BigLeagueTruth,7318,4266.632139928942,2016-02-07,0,2.1155029585798815,2016.8405449988566
7.0,#ImWithYou,7318,4256.751298168899,2016-02-08,0,2.1155029585798815,2012.1698629182813
8.0,#Trump2016,6762,4419.816178645371,2016-02-11,0,3.047798449612403,1450.1668176934243
8.0,#MakeAmericaGreatAgain,6862,4378.285339551151,2016-02-11,0,3.047798449612403,1436.5403132572462
9.0,#VoteTrump,128,3803.9609375,2016-03-19,1,5.053554824561403,752.7297258183293
14.0,#AmericaFirst,77,7724.87012987013,2016-08-14,1,8.795575438596492,878.2677362952373
14.0,#ImWithYou,57,8600.771929824561,2016-08-17,1,8.795575438596492,977.8521018741878
15.0,#MAGA,107,9723.990654205607,2016-09-13,1,9.25225,1050.9865875009436
16.0,#BigLeagueTruth,57,7332.210526315789,2016-10-14,1,11.863077067669174,618.0698721327958
17.0,#DrainTheSwamp,78,11569.28205128205,2016-10-23,1,21.3811,541.0985426980862
