hour_cat,class,count
1,exclaim,352.0
2,exclaim,350.0
3,exclaim,372.0
4,exclaim,329.0
5,exclaim,161.0
6,exclaim,145.0
7,exclaim,43.0
8,exclaim,15.0
9,exclaim,18.0
10,exclaim,54.0
11,exclaim,103.0
12,exclaim,215.0
13,exclaim,265.0
14,exclaim,276.0
15,exclaim,261.0
16,exclaim,237.0
17,exclaim,214.0
18,exclaim,231.0
19,exclaim,221.0
20,exclaim,253.0
21,exclaim,269.0
22,exclaim,262.0
23,exclaim,280.0
24,exclaim,263.0
1,All Tweets,424.0
2,All Tweets,498.0
3,All Tweets,523.0
4,All Tweets,377.0
5,All Tweets,222.0
6,All Tweets,146.0
7,All Tweets,63.0
8,All Tweets,29.0
9,All Tweets,42.0
10,All Tweets,84.0
11,All Tweets,168.0
12,All Tweets,301.0
13,All Tweets,376.0
14,All Tweets,423.0
15,All Tweets,377.0
16,All Tweets,373.0
17,All Tweets,344.0
18,All Tweets,331.0
19,All Tweets,357.0
20,All Tweets,403.0
21,All Tweets,397.0
22,All Tweets,397.0
23,All Tweets,356.0
24,All Tweets,364.0
