hashtag,hour_cat,count
Trump2016,1.0,46.0
Trump2016,2.0,40.0
Trump2016,3.0,35.0
Trump2016,4.0,44.0
Trump2016,5.0,27.0
Trump2016,6.0,17.0
Trump2016,7.0,11.0
Trump2016,8.0,2.0
Trump2016,9.0,4.0
Trump2016,10.0,2.0
Trump2016,11.0,8.0
Trump2016,12.0,7.0
Trump2016,13.0,13.0
Trump2016,14.0,28.0
Trump2016,15.0,17.0
Trump2016,16.0,31.0
Trump2016,17.0,32.0
Trump2016,18.0,24.0
Trump2016,19.0,27.0
Trump2016,20.0,29.0
Trump2016,21.0,37.0
Trump2016,22.0,46.0
Trump2016,23.0,40.0
Trump2016,24.0,46.0
MakeAmericaGreatAgain,1.0,37.0
MakeAmericaGreatAgain,2.0,29.0
MakeAmericaGreatAgain,3.0,30.0
MakeAmericaGreatAgain,4.0,31.0
MakeAmericaGreatAgain,5.0,20.0
MakeAmericaGreatAgain,6.0,16.0
MakeAmericaGreatAgain,7.0,12.0
MakeAmericaGreatAgain,8.0,3.0
MakeAmericaGreatAgain,9.0,4.0
MakeAmericaGreatAgain,10.0,4.0
MakeAmericaGreatAgain,11.0,2.0
MakeAmericaGreatAgain,12.0,10.0
MakeAmericaGreatAgain,13.0,12.0
MakeAmericaGreatAgain,14.0,23.0
MakeAmericaGreatAgain,15.0,14.0
MakeAmericaGreatAgain,16.0,21.0
MakeAmericaGreatAgain,17.0,29.0
MakeAmericaGreatAgain,18.0,22.0
MakeAmericaGreatAgain,19.0,26.0
MakeAmericaGreatAgain,20.0,29.0
MakeAmericaGreatAgain,21.0,36.0
MakeAmericaGreatAgain,22.0,38.0
MakeAmericaGreatAgain,23.0,30.0
MakeAmericaGreatAgain,24.0,35.0
All Tweets,1.0,42.4
All Tweets,2.0,49.8
All Tweets,3.0,52.3
All Tweets,4.0,37.7
All Tweets,5.0,22.2
All Tweets,6.0,14.6
All Tweets,7.0,6.3
All Tweets,8.0,2.9
All Tweets,9.0,4.2
All Tweets,10.0,8.4
All Tweets,11.0,16.8
All Tweets,12.0,30.1
All Tweets,13.0,37.6
All Tweets,14.0,42.3
All Tweets,15.0,37.7
All Tweets,16.0,37.3
All Tweets,17.0,34.4
All Tweets,18.0,33.1
All Tweets,19.0,35.7
All Tweets,20.0,40.3
All Tweets,21.0,39.7
All Tweets,22.0,39.7
All Tweets,23.0,35.6
All Tweets,24.0,36.4
